parameter,description,type,hex_address,address,resolution,alterability
Segment.5.TargetSetpoint,Target Setpoint,float32,0x20b1,8369,Same as Programmer.Run.PVInput,RW
Segment.5.RampRate,Ramp Rate,float32,0x20b2,8370,Same as Programmer.Setup.RateResolution,RW
Segment.5.TimeToTarget,Time To Target,time_t,0x20b2,8370,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.5.Duration,Dwell Duration,time_t,0x20b2,8370,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.5.CallProgram,Call Program,uint8,0x20b3,8371,Not applicable,RW
Segment.5.CallCycles,Call Cycles,int16,0x20b4,8372,Not applicable,RW
Segment.5.EventOutput,Event Output,uint8,0x20b4,8372,Not applicable,RW
Segment.5.HoldbackType,Holdback Type,uint8,0x20b5,8373,Not applicable,RW
Segment.5.HoldbackValue,Holdback Value,float32,0x20b6,8374,Same as Programmer.Run.PVInput,RW
Segment.6.SegmentType,Segment Type,uint8,0x20b8,8376,Not applicable,RW
Segment.6.TargetSetpoint,Target Setpoint,float32,0x20b9,8377,Same as Programmer.Run.PVInput,RW
Segment.6.RampRate,Ramp Rate,float32,0x20ba,8378,Same as Programmer.Setup.RateResolution,RW
Segment.6.TimeToTarget,Time To Target,time_t,0x20ba,8378,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.6.Duration,Dwell Duration,time_t,0x20ba,8378,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.6.CallProgram,Call Program,uint8,0x20bb,8379,Not applicable,RW
Segment.6.CallCycles,Call Cycles,int16,0x20bc,8380,Not applicable,RW
Segment.6.EventOutput,Event Output,uint8,0x20bc,8380,Not applicable,RW
Segment.6.HoldbackType,Holdback Type,uint8,0x20bd,8381,Not applicable,RW
Segment.6.HoldbackValue,Holdback Value,float32,0x20be,8382,Same as Programmer.Run.PVInput,RW
Segment.7.SegmentType,Segment Type,uint8,0x20c0,8384,Not applicable,RW
Segment.7.TargetSetpoint,Target Setpoint,float32,0x20c1,8385,Same as Programmer.Run.PVInput,RW
Segment.7.RampRate,Ramp Rate,float32,0x20c2,8386,Same as Programmer.Setup.RateResolution,RW
Segment.7.TimeToTarget,Time To Target,time_t,0x20c2,8386,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.7.Duration,Dwell Duration,time_t,0x20c2,8386,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.7.CallProgram,Call Program,uint8,0x20c3,8387,Not applicable,RW
Segment.7.CallCycles,Call Cycles,int16,0x20c4,8388,Not applicable,RW
Segment.7.EventOutput,Event Output,uint8,0x20c4,8388,Not applicable,RW
Segment.7.HoldbackType,Holdback Type,uint8,0x20c5,8389,Not applicable,RW
Segment.7.HoldbackValue,Holdback Value,float32,0x20c6,8390,Same as Programmer.Run.PVInput,RW
Segment.8.SegmentType,Segment Type,uint8,0x20c8,8392,Not applicable,RW
Segment.8.TargetSetpoint,Target Setpoint,float32,0x20c9,8393,Same as Programmer.Run.PVInput,RW
Segment.8.RampRate,Ramp Rate,float32,0x20ca,8394,Same as Programmer.Setup.RateResolution,RW
Segment.8.TimeToTarget,Time To Target,time_t,0x20ca,8394,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.8.Duration,Dwell Duration,time_t,0x20ca,8394,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.8.CallProgram,Call Program,uint8,0x20cb,8395,Not applicable,RW
Segment.8.CallCycles,Call Cycles,int16,0x20cc,8396,Not applicable,RW
Segment.8.EventOutput,Event Output,uint8,0x20cc,8396,Not applicable,RW
Segment.8.HoldbackType,Holdback Type,uint8,0x20cd,8397,Not applicable,RW
Segment.8.HoldbackValue,Holdback Value,float32,0x20ce,8398,Same as Programmer.Run.PVInput,RW
Segment.9.SegmentType,Segment Type,uint8,0x20d0,8400,Not applicable,RW
Segment.9.TargetSetpoint,Target Setpoint,float32,0x20d1,8401,Same as Programmer.Run.PVInput,RW
Segment.9.RampRate,Ramp Rate,float32,0x20d2,8402,Same as Programmer.Setup.RateResolution,RW
Segment.9.TimeToTarget,Time To Target,time_t,0x20d2,8402,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.9.Duration,Dwell Duration,time_t,0x20d2,8402,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.9.CallProgram,Call Program,uint8,0x20d3,8403,Not applicable,RW
Segment.9.CallCycles,Call Cycles,int16,0x20d4,8404,Not applicable,RW
Segment.9.EventOutput,Event Output,uint8,0x20d4,8404,Not applicable,RW
Segment.9.HoldbackType,Holdback Type,uint8,0x20d5,8405,Not applicable,RW
Segment.9.HoldbackValue,Holdback Value,float32,0x20d6,8406,Same as Programmer.Run.PVInput,RW
Segment.10.SegmentType,Segment Type,uint8,0x20d8,8408,Not applicable,RW
Segment.10.TargetSetpoint,Target Setpoint,float32,0x20d9,8409,Same as Programmer.Run.PVInput,RW
Segment.10.RampRate,Ramp Rate,float32,0x20da,8410,Same as Programmer.Setup.RateResolution,RW
Segment.10.TimeToTarget,Time To Target,time_t,0x20da,8410,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.10.Duration,Dwell Duration,time_t,0x20da,8410,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.10.CallProgram,Call Program,uint8,0x20db,8411,Not applicable,RW
Segment.10.CallCycles,Call Cycles,int16,0x20dc,8412,Not applicable,RW
Segment.10.EventOutput,Event Output,uint8,0x20dc,8412,Not applicable,RW
Segment.10.HoldbackType,Holdback Type,uint8,0x20dd,8413,Not applicable,RW
Segment.10.HoldbackValue,Holdback Value,float32,0x20de,8414,Same as Programmer.Run.PVInput,RW
Segment.11.SegmentType,Segment Type,uint8,0x20e0,8416,Not applicable,RW
Segment.11.TargetSetpoint,Target Setpoint,float32,0x20e1,8417,Same as Programmer.Run.PVInput,RW
Segment.11.RampRate,Ramp Rate,float32,0x20e2,8418,Same as Programmer.Setup.RateResolution,RW
Segment.11.TimeToTarget,Time To Target,time_t,0x20e2,8418,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.11.Duration,Dwell Duration,time_t,0x20e2,8418,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.11.CallProgram,Call Program,uint8,0x20e3,8419,Not applicable,RW
Segment.11.CallCycles,Call Cycles,int16,0x20e4,8420,Not applicable,RW
Segment.11.EventOutput,Event Output,uint8,0x20e4,8420,Not applicable,RW
Segment.11.HoldbackType,Holdback Type,uint8,0x20e5,8421,Not applicable,RW
Segment.11.HoldbackValue,Holdback Value,float32,0x20e6,8422,Same as Programmer.Run.PVInput,RW
Segment.12.SegmentType,Segment Type,uint8,0x20e8,8424,Not applicable,RW
Segment.12.TargetSetpoint,Target Setpoint,float32,0x20e9,8425,Same as Programmer.Run.PVInput,RW
Segment.12.RampRate,Ramp Rate,float32,0x20ea,8426,Same as Programmer.Setup.RateResolution,RW
Segment.12.TimeToTarget,Time To Target,time_t,0x20ea,8426,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.12.Duration,Dwell Duration,time_t,0x20ea,8426,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.12.CallProgram,Call Program,uint8,0x20eb,8427,Not applicable,RW
Segment.12.CallCycles,Call Cycles,int16,0x20ec,8428,Not applicable,RW
Segment.12.EventOutput,Event Output,uint8,0x20ec,8428,Not applicable,RW
Segment.12.HoldbackType,Holdback Type,uint8,0x20ed,8429,Not applicable,RW
Segment.12.HoldbackValue,Holdback Value,float32,0x20ee,8430,Same as Programmer.Run.PVInput,RW
Segment.13.SegmentType,Segment Type,uint8,0x20f0,8432,Not applicable,RW
Segment.13.TargetSetpoint,Target Setpoint,float32,0x20f1,8433,Same as Programmer.Run.PVInput,RW
Segment.13.RampRate,Ramp Rate,float32,0x20f2,8434,Same as Programmer.Setup.RateResolution,RW
Segment.13.TimeToTarget,Time To Target,time_t,0x20f2,8434,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.13.Duration,Dwell Duration,time_t,0x20f2,8434,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.13.CallProgram,Call Program,uint8,0x20f3,8435,Not applicable,RW
Segment.13.CallCycles,Call Cycles,int16,0x20f4,8436,Not applicable,RW
Segment.13.EventOutput,Event Output,uint8,0x20f4,8436,Not applicable,RW
Segment.13.HoldbackType,Holdback Type,uint8,0x20f5,8437,Not applicable,RW
Segment.13.HoldbackValue,Holdback Value,float32,0x20f6,8438,Same as Programmer.Run.PVInput,RW
Segment.14.SegmentType,Segment Type,uint8,0x20f8,8440,Not applicable,RW
Segment.14.TargetSetpoint,Target Setpoint,float32,0x20f9,8441,Same as Programmer.Run.PVInput,RW
Segment.14.RampRate,Ramp Rate,float32,0x20fa,8442,Same as Programmer.Setup.RateResolution,RW
Segment.14.TimeToTarget,Time To Target,time_t,0x20fa,8442,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.14.Duration,Dwell Duration,time_t,0x20fa,8442,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.14.CallProgram,Call Program,uint8,0x20fb,8443,Not applicable,RW
Segment.14.CallCycles,Call Cycles,int16,0x20fc,8444,Not applicable,RW
Segment.14.EventOutput,Event Output,uint8,0x20fc,8444,Not applicable,RW
Segment.14.HoldbackType,Holdback Type,uint8,0x20fd,8445,Not applicable,RW
Segment.14.HoldbackValue,Holdback Value,float32,0x20fe,8446,Same as Programmer.Run.PVInput,RW
Segment.15.SegmentType,Segment Type,uint8,0x2100,8448,Not applicable,RW
Segment.15.TargetSetpoint,Target Setpoint,float32,0x2101,8449,Same as Programmer.Run.PVInput,RW
Segment.15.RampRate,Ramp Rate,float32,0x2102,8450,Same as Programmer.Setup.RateResolution,RW
Segment.15.TimeToTarget,Time To Target,time_t,0x2102,8450,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.15.Duration,Dwell Duration,time_t,0x2102,8450,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.15.CallProgram,Call Program,uint8,0x2103,8451,Not applicable,RW
Segment.15.CallCycles,Call Cycles,int16,0x2104,8452,Not applicable,RW
Segment.15.EventOutput,Event Output,uint8,0x2104,8452,Not applicable,RW
Segment.15.HoldbackType,Holdback Type,uint8,0x2105,8453,Not applicable,RW
Segment.15.HoldbackValue,Holdback Value,float32,0x2106,8454,Same as Programmer.Run.PVInput,RW
Segment.16.SegmentType,Segment Type,uint8,0x2108,8456,Not applicable,RW
Segment.16.TargetSetpoint,Target Setpoint,float32,0x2109,8457,Same as Programmer.Run.PVInput,RW
Segment.16.RampRate,Ramp Rate,float32,0x210a,8458,Same as Programmer.Setup.RateResolution,RW
Segment.16.TimeToTarget,Time To Target,time_t,0x210a,8458,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.16.Duration,Dwell Duration,time_t,0x210a,8458,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.16.CallProgram,Call Program,uint8,0x210b,8459,Not applicable,RW
Segment.16.CallCycles,Call Cycles,int16,0x210c,8460,Not applicable,RW
Segment.16.EventOutput,Event Output,uint8,0x210c,8460,Not applicable,RW
Segment.16.HoldbackType,Holdback Type,uint8,0x210d,8461,Not applicable,RW
Segment.16.HoldbackValue,Holdback Value,float32,0x210e,8462,Same as Programmer.Run.PVInput,RW
Program.2.HoldbackType,Holdback Type,uint8,0x2110,8464,Not applicable,RW
Program.2.HoldbackValue,Holdback Value,float32,0x2111,8465,Same as Programmer.Run.PVInput,RW
Program.2.RampUnits,Ramp Units,uint8,0x2112,8466,Not applicable,RW
Program.2.DwellUnits,Dwell Units,uint8,0x2113,8467,Not applicable,RW
Program.2.ProgramCycles,Program Cycles,int16,0x2114,8468,Not applicable,RW
Program.2.HoldbackStyle,Holdback Style,uint8,0x2115,8469,Not applicable,RW
Program.2.ProgramEndType,Program End Type,uint8,0x2116,8470,Not applicable,RW
Program.2.NumConfSegments,Number of configured segments,uint8,0x2117,8471,Not applicable,RO
Segment.26.SegmentType,Segment Type,uint8,0x2118,8472,Not applicable,RW
Segment.26.TargetSetpoint,Target Setpoint,float32,0x2119,8473,Same as Programmer.Run.PVInput,RW
Segment.26.RampRate,Ramp Rate,float32,0x211a,8474,Same as Programmer.Setup.RateResolution,RW
Segment.26.TimeToTarget,Time To Target,time_t,0x211a,8474,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.26.Duration,Dwell Duration,time_t,0x211a,8474,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.26.CallProgram,Call Program,uint8,0x211b,8475,Not applicable,RW
Segment.26.CallCycles,Call Cycles,int16,0x211c,8476,Not applicable,RW
Segment.26.EventOutput,Event Output,uint8,0x211c,8476,Not applicable,RW
Segment.26.HoldbackType,Holdback Type,uint8,0x211d,8477,Not applicable,RW
Segment.26.HoldbackValue,Holdback Value,float32,0x211e,8478,Same as Programmer.Run.PVInput,RW
Segment.27.SegmentType,Segment Type,uint8,0x2120,8480,Not applicable,RW
Segment.27.TargetSetpoint,Target Setpoint,float32,0x2121,8481,Same as Programmer.Run.PVInput,RW
Segment.27.RampRate,Ramp Rate,float32,0x2122,8482,Same as Programmer.Setup.RateResolution,RW
Segment.27.TimeToTarget,Time To Target,time_t,0x2122,8482,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.27.Duration,Dwell Duration,time_t,0x2122,8482,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.27.CallProgram,Call Program,uint8,0x2123,8483,Not applicable,RW
Segment.27.CallCycles,Call Cycles,int16,0x2124,8484,Not applicable,RW
Segment.27.EventOutput,Event Output,uint8,0x2124,8484,Not applicable,RW
Segment.27.HoldbackType,Holdback Type,uint8,0x2125,8485,Not applicable,RW
Segment.27.HoldbackValue,Holdback Value,float32,0x2126,8486,Same as Programmer.Run.PVInput,RW
Segment.28.SegmentType,Segment Type,uint8,0x2128,8488,Not applicable,RW
Segment.28.TargetSetpoint,Target Setpoint,float32,0x2129,8489,Same as Programmer.Run.PVInput,RW
Segment.28.RampRate,Ramp Rate,float32,0x212a,8490,Same as Programmer.Setup.RateResolution,RW
Segment.28.TimeToTarget,Time To Target,time_t,0x212a,8490,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.28.Duration,Dwell Duration,time_t,0x212a,8490,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.28.CallProgram,Call Program,uint8,0x212b,8491,Not applicable,RW
Segment.28.CallCycles,Call Cycles,int16,0x212c,8492,Not applicable,RW
Segment.28.EventOutput,Event Output,uint8,0x212c,8492,Not applicable,RW
Segment.28.HoldbackType,Holdback Type,uint8,0x212d,8493,Not applicable,RW
Segment.28.HoldbackValue,Holdback Value,float32,0x212e,8494,Same as Programmer.Run.PVInput,RW
Segment.29.SegmentType,Segment Type,uint8,0x2130,8496,Not applicable,RW
Segment.29.TargetSetpoint,Target Setpoint,float32,0x2131,8497,Same as Programmer.Run.PVInput,RW
Segment.29.RampRate,Ramp Rate,float32,0x2132,8498,Same as Programmer.Setup.RateResolution,RW
Segment.29.TimeToTarget,Time To Target,time_t,0x2132,8498,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.29.Duration,Dwell Duration,time_t,0x2132,8498,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.29.CallProgram,Call Program,uint8,0x2133,8499,Not applicable,RW
Segment.29.CallCycles,Call Cycles,int16,0x2134,8500,Not applicable,RW
Segment.29.EventOutput,Event Output,uint8,0x2134,8500,Not applicable,RW
Segment.29.HoldbackType,Holdback Type,uint8,0x2135,8501,Not applicable,RW
Segment.29.HoldbackValue,Holdback Value,float32,0x2136,8502,Same as Programmer.Run.PVInput,RW
Segment.30.SegmentType,Segment Type,uint8,0x2138,8504,Not applicable,RW
Segment.30.TargetSetpoint,Target Setpoint,float32,0x2139,8505,Same as Programmer.Run.PVInput,RW
Segment.30.RampRate,Ramp Rate,float32,0x213a,8506,Same as Programmer.Setup.RateResolution,RW
Segment.30.TimeToTarget,Time To Target,time_t,0x213a,8506,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.30.Duration,Dwell Duration,time_t,0x213a,8506,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.30.CallProgram,Call Program,uint8,0x213b,8507,Not applicable,RW
Segment.30.CallCycles,Call Cycles,int16,0x213c,8508,Not applicable,RW
Segment.30.EventOutput,Event Output,uint8,0x213c,8508,Not applicable,RW
Segment.30.HoldbackType,Holdback Type,uint8,0x213d,8509,Not applicable,RW
Segment.30.HoldbackValue,Holdback Value,float32,0x213e,8510,Same as Programmer.Run.PVInput,RW
Segment.31.SegmentType,Segment Type,uint8,0x2140,8512,Not applicable,RW
Segment.31.TargetSetpoint,Target Setpoint,float32,0x2141,8513,Same as Programmer.Run.PVInput,RW
Segment.31.RampRate,Ramp Rate,float32,0x2142,8514,Same as Programmer.Setup.RateResolution,RW
Segment.31.TimeToTarget,Time To Target,time_t,0x2142,8514,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.31.Duration,Dwell Duration,time_t,0x2142,8514,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.31.CallProgram,Call Program,uint8,0x2143,8515,Not applicable,RW
Segment.31.CallCycles,Call Cycles,int16,0x2144,8516,Not applicable,RW
Segment.31.EventOutput,Event Output,uint8,0x2144,8516,Not applicable,RW
Segment.31.HoldbackType,Holdback Type,uint8,0x2145,8517,Not applicable,RW
Segment.31.HoldbackValue,Holdback Value,float32,0x2146,8518,Same as Programmer.Run.PVInput,RW
Segment.32.SegmentType,Segment Type,uint8,0x2148,8520,Not applicable,RW
Segment.32.TargetSetpoint,Target Setpoint,float32,0x2149,8521,Same as Programmer.Run.PVInput,RW
Segment.32.RampRate,Ramp Rate,float32,0x214a,8522,Same as Programmer.Setup.RateResolution,RW
Segment.32.TimeToTarget,Time To Target,time_t,0x214a,8522,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.32.Duration,Dwell Duration,time_t,0x214a,8522,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.32.CallProgram,Call Program,uint8,0x214b,8523,Not applicable,RW
Segment.32.CallCycles,Call Cycles,int16,0x214c,8524,Not applicable,RW
Segment.32.EventOutput,Event Output,uint8,0x214c,8524,Not applicable,RW
Segment.32.HoldbackType,Holdback Type,uint8,0x214d,8525,Not applicable,RW
Segment.32.HoldbackValue,Holdback Value,float32,0x214e,8526,Same as Programmer.Run.PVInput,RW
Segment.33.SegmentType,Segment Type,uint8,0x2150,8528,Not applicable,RW
Segment.33.TargetSetpoint,Target Setpoint,float32,0x2151,8529,Same as Programmer.Run.PVInput,RW
Segment.33.RampRate,Ramp Rate,float32,0x2152,8530,Same as Programmer.Setup.RateResolution,RW
Segment.33.TimeToTarget,Time To Target,time_t,0x2152,8530,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.33.Duration,Dwell Duration,time_t,0x2152,8530,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.33.CallProgram,Call Program,uint8,0x2153,8531,Not applicable,RW
Segment.33.CallCycles,Call Cycles,int16,0x2154,8532,Not applicable,RW
Segment.33.EventOutput,Event Output,uint8,0x2154,8532,Not applicable,RW
Segment.33.HoldbackType,Holdback Type,uint8,0x2155,8533,Not applicable,RW
Segment.33.HoldbackValue,Holdback Value,float32,0x2156,8534,Same as Programmer.Run.PVInput,RW
Segment.34.SegmentType,Segment Type,uint8,0x2158,8536,Not applicable,RW
Segment.34.TargetSetpoint,Target Setpoint,float32,0x2159,8537,Same as Programmer.Run.PVInput,RW
Segment.34.RampRate,Ramp Rate,float32,0x215a,8538,Same as Programmer.Setup.RateResolution,RW
Segment.34.TimeToTarget,Time To Target,time_t,0x215a,8538,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.34.Duration,Dwell Duration,time_t,0x215a,8538,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.34.CallProgram,Call Program,uint8,0x215b,8539,Not applicable,RW
Segment.34.CallCycles,Call Cycles,int16,0x215c,8540,Not applicable,RW
Segment.34.EventOutput,Event Output,uint8,0x215c,8540,Not applicable,RW
Segment.34.HoldbackType,Holdback Type,uint8,0x215d,8541,Not applicable,RW
Segment.34.HoldbackValue,Holdback Value,float32,0x215e,8542,Same as Programmer.Run.PVInput,RW
Segment.35.SegmentType,Segment Type,uint8,0x2160,8544,Not applicable,RW
Segment.35.TargetSetpoint,Target Setpoint,float32,0x2161,8545,Same as Programmer.Run.PVInput,RW
Segment.35.RampRate,Ramp Rate,float32,0x2162,8546,Same as Programmer.Setup.RateResolution,RW
Segment.35.TimeToTarget,Time To Target,time_t,0x2162,8546,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.35.Duration,Dwell Duration,time_t,0x2162,8546,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.35.CallProgram,Call Program,uint8,0x2163,8547,Not applicable,RW
Segment.35.CallCycles,Call Cycles,int16,0x2164,8548,Not applicable,RW
Segment.35.EventOutput,Event Output,uint8,0x2164,8548,Not applicable,RW
Segment.35.HoldbackType,Holdback Type,uint8,0x2165,8549,Not applicable,RW
Segment.35.HoldbackValue,Holdback Value,float32,0x2166,8550,Same as Programmer.Run.PVInput,RW
Segment.36.SegmentType,Segment Type,uint8,0x2168,8552,Not applicable,RW
Segment.36.TargetSetpoint,Target Setpoint,float32,0x2169,8553,Same as Programmer.Run.PVInput,RW
Segment.36.RampRate,Ramp Rate,float32,0x216a,8554,Same as Programmer.Setup.RateResolution,RW
Segment.36.TimeToTarget,Time To Target,time_t,0x216a,8554,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.36.Duration,Dwell Duration,time_t,0x216a,8554,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.36.CallProgram,Call Program,uint8,0x216b,8555,Not applicable,RW
Segment.36.CallCycles,Call Cycles,int16,0x216c,8556,Not applicable,RW
Segment.36.EventOutput,Event Output,uint8,0x216c,8556,Not applicable,RW
Segment.36.HoldbackType,Holdback Type,uint8,0x216d,8557,Not applicable,RW
Segment.36.HoldbackValue,Holdback Value,float32,0x216e,8558,Same as Programmer.Run.PVInput,RW
Segment.37.SegmentType,Segment Type,uint8,0x2170,8560,Not applicable,RW
Segment.37.TargetSetpoint,Target Setpoint,float32,0x2171,8561,Same as Programmer.Run.PVInput,RW
Segment.37.RampRate,Ramp Rate,float32,0x2172,8562,Same as Programmer.Setup.RateResolution,RW
Segment.37.TimeToTarget,Time To Target,time_t,0x2172,8562,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.37.Duration,Dwell Duration,time_t,0x2172,8562,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.37.CallProgram,Call Program,uint8,0x2173,8563,Not applicable,RW
Segment.37.CallCycles,Call Cycles,int16,0x2174,8564,Not applicable,RW
Segment.37.EventOutput,Event Output,uint8,0x2174,8564,Not applicable,RW
Segment.37.HoldbackType,Holdback Type,uint8,0x2175,8565,Not applicable,RW
Segment.37.HoldbackValue,Holdback Value,float32,0x2176,8566,Same as Programmer.Run.PVInput,RW
Segment.38.SegmentType,Segment Type,uint8,0x2178,8568,Not applicable,RW
Segment.38.TargetSetpoint,Target Setpoint,float32,0x2179,8569,Same as Programmer.Run.PVInput,RW
Segment.38.RampRate,Ramp Rate,float32,0x217a,8570,Same as Programmer.Setup.RateResolution,RW
Segment.38.TimeToTarget,Time To Target,time_t,0x217a,8570,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.38.Duration,Dwell Duration,time_t,0x217a,8570,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.38.CallProgram,Call Program,uint8,0x217b,8571,Not applicable,RW
Segment.38.CallCycles,Call Cycles,int16,0x217c,8572,Not applicable,RW
Segment.38.EventOutput,Event Output,uint8,0x217c,8572,Not applicable,RW
Segment.38.HoldbackType,Holdback Type,uint8,0x217d,8573,Not applicable,RW
Segment.38.HoldbackValue,Holdback Value,float32,0x217e,8574,Same as Programmer.Run.PVInput,RW
Segment.39.SegmentType,Segment Type,uint8,0x2180,8576,Not applicable,RW
Segment.39.TargetSetpoint,Target Setpoint,float32,0x2181,8577,Same as Programmer.Run.PVInput,RW
Segment.39.RampRate,Ramp Rate,float32,0x2182,8578,Same as Programmer.Setup.RateResolution,RW
Segment.39.TimeToTarget,Time To Target,time_t,0x2182,8578,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.39.Duration,Dwell Duration,time_t,0x2182,8578,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.39.CallProgram,Call Program,uint8,0x2183,8579,Not applicable,RW
Segment.39.CallCycles,Call Cycles,int16,0x2184,8580,Not applicable,RW
Segment.39.EventOutput,Event Output,uint8,0x2184,8580,Not applicable,RW
Segment.39.HoldbackType,Holdback Type,uint8,0x2185,8581,Not applicable,RW
Segment.39.HoldbackValue,Holdback Value,float32,0x2186,8582,Same as Programmer.Run.PVInput,RW
Segment.40.SegmentType,Segment Type,uint8,0x2188,8584,Not applicable,RW
Segment.40.TargetSetpoint,Target Setpoint,float32,0x2189,8585,Same as Programmer.Run.PVInput,RW
Segment.40.RampRate,Ramp Rate,float32,0x218a,8586,Same as Programmer.Setup.RateResolution,RW
Segment.40.TimeToTarget,Time To Target,time_t,0x218a,8586,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.40.Duration,Dwell Duration,time_t,0x218a,8586,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.40.CallProgram,Call Program,uint8,0x218b,8587,Not applicable,RW
Segment.40.CallCycles,Call Cycles,int16,0x218c,8588,Not applicable,RW
Segment.40.EventOutput,Event Output,uint8,0x218c,8588,Not applicable,RW
Segment.40.HoldbackType,Holdback Type,uint8,0x218d,8589,Not applicable,RW
Segment.40.HoldbackValue,Holdback Value,float32,0x218e,8590,Same as Programmer.Run.PVInput,RW
Segment.41.SegmentType,Segment Type,uint8,0x2190,8592,Not applicable,RW
Segment.41.TargetSetpoint,Target Setpoint,float32,0x2191,8593,Same as Programmer.Run.PVInput,RW
Segment.41.RampRate,Ramp Rate,float32,0x2192,8594,Same as Programmer.Setup.RateResolution,RW
Segment.41.TimeToTarget,Time To Target,time_t,0x2192,8594,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.41.Duration,Dwell Duration,time_t,0x2192,8594,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.41.CallProgram,Call Program,uint8,0x2193,8595,Not applicable,RW
Segment.41.CallCycles,Call Cycles,int16,0x2194,8596,Not applicable,RW
Segment.41.EventOutput,Event Output,uint8,0x2194,8596,Not applicable,RW
Segment.41.HoldbackType,Holdback Type,uint8,0x2195,8597,Not applicable,RW
Segment.41.HoldbackValue,Holdback Value,float32,0x2196,8598,Same as Programmer.Run.PVInput,RW
Program.3.HoldbackType,Holdback Type,uint8,0x2198,8600,Not applicable,RW
Program.3.HoldbackValue,Holdback Value,float32,0x2199,8601,Same as Programmer.Run.PVInput,RW
Program.3.RampUnits,Ramp Units,uint8,0x219a,8602,Not applicable,RW
Program.3.DwellUnits,Dwell Units,uint8,0x219b,8603,Not applicable,RW
Program.3.ProgramCycles,Program Cycles,int16,0x219c,8604,Not applicable,RW
Program.3.HoldbackStyle,Holdback Style,uint8,0x219d,8605,Not applicable,RW
Program.3.ProgramEndType,Program End Type,uint8,0x219e,8606,Not applicable,RW
Program.3.NumConfSegments,Number of configured segments,uint8,0x219f,8607,Not applicable,RO
Segment.51.SegmentType,Segment Type,uint8,0x21a0,8608,Not applicable,RW
Segment.51.TargetSetpoint,Target Setpoint,float32,0x21a1,8609,Same as Programmer.Run.PVInput,RW
Segment.51.RampRate,Ramp Rate,float32,0x21a2,8610,Same as Programmer.Setup.RateResolution,RW
